gn_code;douanerecht;type_duty
0710400099;5.100 % + 9.400 EUR DTN E;DUT 3TH
0710801000;15.200 %;DUT 3TH
0710805100;14.400 %;DUT 3TH
0710805900;6.400 %;DUT 3TH
0710805920;6.400 %;DUT 3TH
0710805990;6.400 %;DUT 3TH
0710806990;14.400 %;DUT 3TH
0710808000;14.400 %;DUT 3TH
0710808500;14.400 %;DUT 3TH
0710809530;14.400 %;DUT 3TH
0710809550;14.400 %;DUT 3TH
0710809560;14.400 %;DUT 3TH
0710809578;14.400 %;DUT 3TH
0710809580;14.400 %;DUT 3TH
0710900000;14.400 %;DUT 3TH
0711400000;12.000 %;DUT 3TH
0711905000;7.200 %;DUT 3TH
0711909000;12.000 %;DUT 3TH
0712310000;12.800 %;DUT 3TH
0712390000;12.800 %;DUT 3TH
0712390031;12.800 %;DUT 3TH
0712390039;12.800 %;DUT 3TH
0712900500;10.200 %;DUT 3TH
0712903000;12.800 %;DUT 3TH
0712905000;12.800 %;DUT 3TH
0712909000;12.800 %;DUT 3TH
0712909010;12.800 %;DUT 3TH
0712909090;12.800 %;DUT 3TH
0713101000;0.000 %;DUT 3TH
0713109000;0.000 %;DUT 3TH
0713200000;0.000 %;DUT 3TH
0713200000;"Cond: B cert: Y-155 (01):50.000 % ; B (01):0.000 %";DUT 3TH
0713310000;0.000 %;DUT 3TH
0713331000;0.000 %;DUT 3TH
0713339000;0.000 %;DUT 3TH
0713350000;0.000 %;DUT 3TH
0713390000;0.000 %;DUT 3TH
0713400000;0.000 %;DUT 3TH
0713500090;3.200 %;DUT 3TH
0713600000;3.200 %;DUT 3TH
0713900000;3.200 %;DUT 3TH
0713900010;3.200 %;DUT 3TH
0713900090;3.200 %;DUT 3TH
0714100010;9.500 EUR DTN;DUT 3TH
0714100099;9.500 EUR DTN;DUT 3TH
0714201000;3.000 %;DUT 3TH
0714209000;6.400 EUR DTN;DUT 3TH
0714300010;9.500 EUR DTN;DUT 3TH
0714300099;9.500 EUR DTN;DUT 3TH
0714400010;9.500 EUR DTN;DUT 3TH
0714500099;9.500 EUR DTN;DUT 3TH
0714909000;3.000 %;DUT 3TH
0801110000;0.000 %;DUT 3TH
0801120000;0.000 %;DUT 3TH
0801190000;0.000 %;DUT 3TH
0801190000;0.000 %;DUT 3TH
0801220000;0.000 %;DUT 3TH
0801310000;0.000 %;DUT 3TH
0801320000;0.000 %;DUT 3TH
0802119000;5.600 %;DUT 3TH
0802121000;0.000 %;DUT 3TH
0802129000;3.500 %;DUT 3TH
0802210000;3.200 %;DUT 3TH
0802220000;3.200 %;DUT 3TH
0802310000;4.000 %;DUT 3TH
0802320000;5.100 %;DUT 3TH
0802410000;5.600 %;DUT 3TH
0802420000;5.600 %;DUT 3TH
0802510000;1.600 %;DUT 3TH
0802520000;1.600 %;DUT 3TH
0802620000;2.000 %;DUT 3TH
0802901000;0.000 %;DUT 3TH
0802910000;2.000 %;DUT 3TH
0802920000;2.000 %;DUT 3TH
0802991000;0.000 %;DUT 3TH
0802999000;2.000 %;DUT 3TH
0803109000;16.000 %;DUT 3TH
0803909000;16.000 %;DUT 3TH
0804100000;7.700 %;DUT 3TH
0804100030;7.700 %;DUT 3TH
0804100091;7.700 %;DUT 3TH
0804100099;7.700 %;DUT 3TH
0804209000;8.000 %;DUT 3TH
0804300000;5.800 %;DUT 3TH
0804300010;5.800 %;DUT 3TH
0804300090;5.800 %;DUT 3TH
0804500000;0.000 %;DUT 3TH
0804500040;0.000 %;DUT 3TH
0804500089;0.000 %;DUT 3TH
0805102200;"Cond: V 35.400 EUR/DTN(01):10.400 % ; V 34.700 EUR/DTN(01):10.400 % + 0.700 EUR DTN ; V 34.000 EUR/DTN(01):10.400 % + 1.400 EUR DTN ; V 33.300 EUR/DTN(01):10.400 % + 2.100 EUR DTN ; V 32.600 EUR/DTN(01):10.400 % + 2.800 EUR DTN ; V 0.000 EUR/DTN(01):10.400 % + 7.100 EUR DTN";DUT 3TH
0805102200;"Cond: V 35.400 EUR/DTN(01):10.400 % ; V 34.700 EUR/DTN(01):10.400 % + 0.700 EUR DTN ; V 34.000 EUR/DTN(01):10.400 % + 1.400 EUR DTN ; V 33.300 EUR/DTN(01):10.400 % + 2.100 EUR DTN ; V 32.600 EUR/DTN(01):10.400 % + 2.800 EUR DTN ; V 0.000 EUR/DTN(01):10.400 % + 7.100 EUR DTN";DUT 3TH
0805102200;"Cond: V 35.400 EUR/DTN(01):16.000 % ; V 34.700 EUR/DTN(01):16.000 % + 0.700 EUR DTN ; V 34.000 EUR/DTN(01):16.000 % + 1.400 EUR DTN ; V 33.300 EUR/DTN(01):16.000 % + 2.100 EUR DTN ; V 32.600 EUR/DTN(01):16.000 % + 2.800 EUR DTN ; V 0.000 EUR/DTN(01):16.000 % + 7.100 EUR DTN";DUT 3TH
0805102400;"Cond: V 35.400 EUR/DTN(01):10.400 % ; V 34.700 EUR/DTN(01):10.400 % + 0.700 EUR DTN ; V 34.000 EUR/DTN(01):10.400 % + 1.400 EUR DTN ; V 33.300 EUR/DTN(01):10.400 % + 2.100 EUR DTN ; V 32.600 EUR/DTN(01):10.400 % + 2.800 EUR DTN ; V 0.000 EUR/DTN(01):10.400 % + 7.100 EUR DTN";DUT 3TH
0805102400;"Cond: V 35.400 EUR/DTN(01):10.400 % ; V 34.700 EUR/DTN(01):10.400 % + 0.700 EUR DTN ; V 34.000 EUR/DTN(01):10.400 % + 1.400 EUR DTN ; V 33.300 EUR/DTN(01):10.400 % + 2.100 EUR DTN ; V 32.600 EUR/DTN(01):10.400 % + 2.800 EUR DTN ; V 0.000 EUR/DTN(01):10.400 % + 7.100 EUR DTN";DUT 3TH
0805102400;"Cond: V 35.400 EUR/DTN(01):16.000 % ; V 34.700 EUR/DTN(01):16.000 % + 0.700 EUR DTN ; V 34.000 EUR/DTN(01):16.000 % + 1.400 EUR DTN ; V 33.300 EUR/DTN(01):16.000 % + 2.100 EUR DTN ; V 32.600 EUR/DTN(01):16.000 % + 2.800 EUR DTN ; V 0.000 EUR/DTN(01):16.000 % + 7.100 EUR DTN";DUT 3TH
0805102400;"Cond: V 35.400 EUR/DTN(01):16.000 % ; V 34.700 EUR/DTN(01):16.000 % + 0.700 EUR DTN ; V 34.000 EUR/DTN(01):16.000 % + 1.400 EUR DTN ; V 33.300 EUR/DTN(01):16.000 % + 2.100 EUR DTN ; V 32.600 EUR/DTN(01):16.000 % + 2.800 EUR DTN ; V 0.000 EUR/DTN(01):16.000 % + 7.100 EUR DTN";DUT 3TH
0805102400;"Cond: V 35.400 EUR/DTN(01):16.000 % ; V 34.700 EUR/DTN(01):16.000 % + 0.700 EUR DTN ; V 34.000 EUR/DTN(01):16.000 % + 1.400 EUR DTN ; V 33.300 EUR/DTN(01):16.000 % + 2.100 EUR DTN ; V 32.600 EUR/DTN(01):16.000 % + 2.800 EUR DTN ; V 0.000 EUR/DTN(01):16.000 % + 7.100 EUR DTN";DUT 3TH
0805102400;"Cond: V 35.400 EUR/DTN(01):16.000 % ; V 34.700 EUR/DTN(01):16.000 % + 0.700 EUR DTN ; V 34.000 EUR/DTN(01):16.000 % + 1.400 EUR DTN ; V 33.300 EUR/DTN(01):16.000 % + 2.100 EUR DTN ; V 32.600 EUR/DTN(01):16.000 % + 2.800 EUR DTN ; V 0.000 EUR/DTN(01):16.000 % + 7.100 EUR DTN";DUT 3TH
0805102800;3.200 %;DUT 3TH
0805102890;3.200 %;DUT 3TH
0805102890;3.200 %;DUT 3TH
0805108000;12.000 %;DUT 3TH
0805108000;12.000 %;DUT 3TH
0805108000;16.000 %;DUT 3TH
0805108010;12.000 %;DUT 3TH
0805219000;"Cond: V 28.600 EUR/DTN(01):16.000 % ; V 28.000 EUR/DTN(01):16.000 % + 0.600 EUR DTN ; V 27.500 EUR/DTN(01):16.000 % + 1.100 EUR DTN ; V 26.900 EUR/DTN(01):16.000 % + 1.700 EUR DTN ; V 26.300 EUR/DTN(01):16.000 % + 2.300 EUR DTN ; V 0.000 EUR/DTN(01):16.000 % + 10.600 EUR DTN";DUT 3TH
0805290000;16.000 %;DUT 3TH
0805290000;16.000 %;DUT 3TH
0805290099;16.000 %;DUT 3TH
0805400000;1.500 %;DUT 3TH
0805400000;1.500 %;DUT 3TH
0805400000;2.400 %;DUT 3TH
0805400000;2.400 %;DUT 3TH
0805501000;"Cond: V 46.200 EUR/DTN(01):6.400 % ; V 45.300 EUR/DTN(01):6.400 % + 0.900 EUR DTN ; V 44.400 EUR/DTN(01):6.400 % + 1.800 EUR DTN ; V 43.400 EUR/DTN(01):6.400 % + 2.800 EUR DTN ; V 42.500 EUR/DTN(01):6.400 % + 3.700 EUR DTN ; V 0.000 EUR/DTN(01):6.400 % + 25.600 EUR DTN";DUT 3TH
0805501000;"Cond: V 46.200 EUR/DTN(01):6.400 % ; V 45.300 EUR/DTN(01):6.400 % + 0.900 EUR DTN ; V 44.400 EUR/DTN(01):6.400 % + 1.800 EUR DTN ; V 43.400 EUR/DTN(01):6.400 % + 2.800 EUR DTN ; V 42.500 EUR/DTN(01):6.400 % + 3.700 EUR DTN ; V 0.000 EUR/DTN(01):6.400 % + 25.600 EUR DTN";DUT 3TH
0805501000;"Cond: V 46.200 EUR/DTN(01):6.400 % ; V 45.300 EUR/DTN(01):6.400 % + 0.900 EUR DTN ; V 44.400 EUR/DTN(01):6.400 % + 1.800 EUR DTN ; V 43.400 EUR/DTN(01):6.400 % + 2.800 EUR DTN ; V 42.500 EUR/DTN(01):6.400 % + 3.700 EUR DTN ; V 0.000 EUR/DTN(01):6.400 % + 25.600 EUR DTN";DUT 3TH
0805501000;"Cond: V 55.800 EUR/DTN(01):6.400 % ; V 54.700 EUR/DTN(01):6.400 % + 1.100 EUR DTN ; V 53.600 EUR/DTN(01):6.400 % + 2.200 EUR DTN ; V 52.500 EUR/DTN(01):6.400 % + 3.300 EUR DTN ; V 51.300 EUR/DTN(01):6.400 % + 4.500 EUR DTN ; V 50.200 EUR/DTN(01):6.400 % + 5.600 EUR DTN ; V 49.100 EUR/DTN(01):6.400 % + 6.700 EUR DTN ; V 48.000 EUR/DTN(01):6.400 % + 7.800 EUR DTN ; V 46.900 EUR/DTN(01):6.400 % + 8.900 EUR DTN ; V 0.000 EUR/DTN(01):6.400 % + 25.600 EUR DTN";DUT 3TH
0805501090;"Cond: V 46.200 EUR/DTN(01):6.400 % ; V 45.300 EUR/DTN(01):6.400 % + 0.900 EUR DTN ; V 44.400 EUR/DTN(01):6.400 % + 1.800 EUR DTN ; V 43.400 EUR/DTN(01):6.400 % + 2.800 EUR DTN ; V 42.500 EUR/DTN(01):6.400 % + 3.700 EUR DTN ; V 0.000 EUR/DTN(01):6.400 % + 25.600 EUR DTN";DUT 3TH
0805501090;"Cond: V 46.200 EUR/DTN(01):6.400 % ; V 45.300 EUR/DTN(01):6.400 % + 0.900 EUR DTN ; V 44.400 EUR/DTN(01):6.400 % + 1.800 EUR DTN ; V 43.400 EUR/DTN(01):6.400 % + 2.800 EUR DTN ; V 42.500 EUR/DTN(01):6.400 % + 3.700 EUR DTN ; V 0.000 EUR/DTN(01):6.400 % + 25.600 EUR DTN";DUT 3TH
0805501090;"Cond: V 55.800 EUR/DTN(01):6.400 % ; V 54.700 EUR/DTN(01):6.400 % + 1.100 EUR DTN ; V 53.600 EUR/DTN(01):6.400 % + 2.200 EUR DTN ; V 52.500 EUR/DTN(01):6.400 % + 3.300 EUR DTN ; V 51.300 EUR/DTN(01):6.400 % + 4.500 EUR DTN ; V 0.000 EUR/DTN(01):6.400 % + 25.600 EUR DTN";DUT 3TH
